EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=300
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1412343000,253.3,253.34,253.06,253.06,57315
1,251.88,254,251.5,253.35,188735
2,252.4978,253.6599,251.432,251.8,140665
3,252.81,253.2,251.9,252.45,101049
4,254.54,254.54,252.52,252.8,217335
5,254.24,254.68,253.7805,254.542,106219
6,254.47,254.87,254.14,254.2201,86432
7,254.186,254.47,253.9,254.46,75008
8,253.96,254.65,253.9201,254.18,111967
9,253.4925,254.01,253.04,253.9705,94313
10,253.284,253.683,253.17,253.52,44002
11,251.75,253.37,251.5,253.2701,148162
12,252.46,252.9399,251.57,251.63,131423
13,251.28,252.64,251.033,252.61,117097
14,252.4,252.77,251.17,251.2101,102514
15,251.79,252.45,251.52,252.39,67009
16,252.51,252.64,251.75,251.84,38101
17,252.8,252.8,252.1535,252.51,34631
18,252.88,253.158,252.7142,252.8,40666
19,253.51,253.605,252.84,252.88,40983
20,253.58,253.8,253.35,253.6,55335
21,253.23,253.86,253.0102,253.636,48862
22,253.15,253.6522,253.11,253.19,38184
23,253.002,253.33,252.94,253.195,45449
24,253.96,254.2,252.96,252.975,56894
25,253.99,253.99,253.666,253.9188,28095
26,253.9199,254.06,253.8,253.8935,20375
27,253.5,253.83,253.46,253.83,18657
28,253.21,253.65,252.61,253.5,42984
29,253.3563,253.8,253.11,253.17,33989
30,253.892,253.98,253.42,253.42,24090
31,254.13,254.17,253.64,253.84,36368
32,253.68,254.17,253.68,254.1699,25989
33,253.97,254.19,253.71,253.71,37078
34,253.857,254.07,253.77,253.97,10424
35,254.05,254.05,253.67,253.77,18293
36,254.79,254.92,253.94,253.94,91627
37,255.301,255.98,254.76,254.8,177198
38,255.3091,255.73,254.83,255.3,78561
39,256.4,256.5,255.3129,255.3129,139279
40,255.59,256.37,255.311,256.28,94892
41,255.94,255.94,255.4,255.54,47753
42,255.9,256.27,255.74,255.83,47493
43,255.2,256.039,255.14,255.886,37482
44,254.89,255.4213,254.86,255.1632,33844
45,255.23,255.6017,254.864,254.864,24110
46,255.17,255.23,254.82,255.1638,25163
47,255.182,255.35,254.9142,255.0606,21010
48,255.37,255.44,255.0319,255.0319,16673
49,255.06,255.48,255.04,255.3629,27998
50,255.245,255.29,255,255.0563,25206
51,255.46,255.475,255.05,255.21,22422
52,254.8214,255.35,254.55,255.3,40399
53,254.885,254.94,254.66,254.8083,18928
54,255.115,255.115,254.68,254.83,33007
55,255.31,255.44,255.0929,255.1,25316
56,255.46,255.6,255.2401,255.2401,18247
57,255.35,255.8,255.15,255.46,44642
58,255.52,255.57,255.25,255.41,18127
59,255.42,255.6,255.3,255.47,22710
60,255.38,255.73,255.38,255.545,30743
61,255.09,255.398,254.91,255.3899,44561
62,255.17,255.42,254.9101,255.12,28400
63,255.2,255.4,255.01,255.145,29635
64,254.56,255.19,254.56,255.19,34064
65,254.82,254.99,254.5,254.57,35071
66,254.72,254.93,254.65,254.8,22851
67,255.09,255.2355,254.65,254.73,30351
68,255.17,255.34,255,255.07,45075
69,254.93,255.27,254.62,255.1599,22806
70,254.775,254.935,254.67,254.89,20834
71,254.85,254.95,254.71,254.785,33084
72,254.876,255.24,254.661,254.81,52604
73,255.048,255.19,254.87,254.906,41992
74,254.93,255.12,254.9001,255.05,41758
75,254.82,254.9917,254.68,254.96,50957
76,255.25,255.29,254.82,254.82,86390
77,255.24,255.5,255.15,255.25,111660
78,255.21,255.92,255.07,255.24,335424
